id,brand,model,year,source_country,mileage_min,mileage_max,source_marketplace,target_country,target_marketplace,target_search_url,pricing_strategy,last_computed_target_export_price_eur,last_computed_target_export_price_at,notes,source_search_url
MS_KIA_SPORTAGE_2020_FR,KIA,SPORTAGE,2020,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Sportage&fuel=6&regdate=2020-2020&mileage=min-40000&sort=price&order=asc
MS_KIA_SPORTAGE_2021_FR,KIA,SPORTAGE,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Sportage&fuel=6&regdate=2021-2021&mileage=min-40000&sort=price&order=asc
MS_KIA_SPORTAGE_2022_FR,KIA,SPORTAGE,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Sportage&fuel=6&regdate=2022-2022&mileage=min-40000&sort=price&order=asc
MS_KIA_SPORTAGE_2023_FR,KIA,SPORTAGE,2023,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Sportage&fuel=6&regdate=2023-2023&mileage=min-40000&sort=price&order=asc
MS_KIA_STONIC_2017_FR,KIA,STONIC,2017,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Stonic&regdate=2017-2017&mileage=min-40000&sort=price&order=asc
MS_KIA_STONIC_2018_FR,KIA,STONIC,2018,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Stonic&regdate=2018-2018&mileage=min-40000&sort=price&order=asc
MS_KIA_STONIC_2019_FR,KIA,STONIC,2019,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Stonic&regdate=2019-2019&mileage=min-40000&sort=price&order=asc
MS_KIA_STONIC_2022_FR,KIA,STONIC,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Stonic&regdate=2022-2022&mileage=min-40000&sort=price&order=asc
MS_KIA_STONIC_2023_FR,KIA,STONIC,2023,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Stonic&regdate=2023-2023&mileage=min-40000&sort=price&order=asc
MS_KIA_XCEED_2020_FR,KIA,X-CEED,2020,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_XCeed&fuel=6&regdate=202-2020&mileage=min-40000&sort=price&order=asc
MS_KIA_XCEED_2021_FR,KIA,X-CEED,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_XCeed&fuel=6&regdate=202-2021&mileage=min-40000&sort=price&order=asc
MS_KIA_XCEED_2022_FR,KIA,X-CEED,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_XCeed&fuel=6&regdate=2022-2022&mileage=min-40000&sort=price&order=asc
MS_KIA_XCEED_2023_FR,KIA,X-CEED,2023,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_XCeed&fuel=6&regdate=2023-2023&mileage=min-40000&sort=price&order=asc
MS_LEXUS_CT_2017_FR,LEXUS,CT,2017,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_CT&mileage=min-40000&regdate=2017-2017&sort=price&order=asc
MS_LEXUS_CT_2018_FR,LEXUS,CT,2018,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_CT&mileage=min-40000&regdate=2018-2018&sort=price&order=asc
MS_LEXUS_CT_2020_FR,LEXUS,CT,2020,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_CT&mileage=min-40000&regdate=2020-2020&sort=price&order=asc
MS_LEXUS_ES_2020_FR,LEXUS,ES,2020,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_ES&mileage=min-40000&regdate=2020-2020&sort=price&order=asc
MS_LEXUS_ES_2021_FR,LEXUS,ES,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_ES&mileage=min-40000&regdate=2021-2021&sort=price&order=asc
MS_LEXUS_ES_2021_FR,LEXUS,ES,2021,FR,30000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_ES&fuel=6&mileage=min-30000&regdate=2021-2023&sort=price&order=asc
MS_LEXUS_ES_2022_FR,LEXUS,ES,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_ES&mileage=min-40000&regdate=2022-2022&sort=price&order=asc
